company,companydesc,category,catdesc
http://www.wikidata.org/entity/Q721569,Dana Energy,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q728513,Naftogaz,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q728513,Naftogaz,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q1288880,Meyer Burger,http://www.wikidata.org/entity/Q192127,photovoltaics
http://www.wikidata.org/entity/Q1288880,Meyer Burger,http://www.wikidata.org/entity/Q192127,photovoltaics
http://www.wikidata.org/entity/Q1572831,Yingli,http://www.wikidata.org/entity/Q192127,photovoltaics
http://www.wikidata.org/entity/Q1572831,Yingli,http://www.wikidata.org/entity/Q192127,photovoltaics
http://www.wikidata.org/entity/Q2453426,Trina Solar,http://www.wikidata.org/entity/Q192127,photovoltaics
http://www.wikidata.org/entity/Q2453426,Trina Solar,http://www.wikidata.org/entity/Q192127,photovoltaics
http://www.wikidata.org/entity/Q4803857,Ascent Solar,http://www.wikidata.org/entity/Q192127,photovoltaics
http://www.wikidata.org/entity/Q4803857,Ascent Solar,http://www.wikidata.org/entity/Q192127,photovoltaics
http://www.wikidata.org/entity/Q7077689,Odersun,http://www.wikidata.org/entity/Q192127,photovoltaics
http://www.wikidata.org/entity/Q7669988,TEL Solar,http://www.wikidata.org/entity/Q192127,photovoltaics
http://www.wikidata.org/entity/Q7825132,Topray Solar,http://www.wikidata.org/entity/Q192127,photovoltaics
http://www.wikidata.org/entity/Q16842261,HelioVolt,http://www.wikidata.org/entity/Q192127,photovoltaics
http://www.wikidata.org/entity/Q17063030,SFCE,http://www.wikidata.org/entity/Q192127,photovoltaics
http://www.wikidata.org/entity/Q17063030,SFCE,http://www.wikidata.org/entity/Q192127,photovoltaics
http://www.wikidata.org/entity/Q19604407,Grape Solar,http://www.wikidata.org/entity/Q192127,photovoltaics
http://www.wikidata.org/entity/Q20182011,Jinko Solar,http://www.wikidata.org/entity/Q192127,photovoltaics
http://www.wikidata.org/entity/Q20182011,Jinko Solar,http://www.wikidata.org/entity/Q192127,photovoltaics
http://www.wikidata.org/entity/Q831445,Sinopec,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q831445,Sinopec,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q831445,Sinopec,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q835692,Yukos,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q835692,Yukos,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q838716,Talisman Energy,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q838716,Talisman Energy,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q846914,Santos,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q846914,Santos,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q846914,Santos,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q854826,Bharat Petroleum,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q1544431,Greater Nile Petroleum Operating Company,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q1544431,Greater Nile Petroleum Operating Company,http://www.wikidata.org/entity/Q862571,petroleum industry
http://www.wikidata.org/entity/Q1551094,Wingas,http://www.wikidata.org/entity/Q862571,petroleum industry
